PM2.5,PM10,NO2,SO2,CO,O3,AQI,Health_Risk
15,25,12,5,0.3,20,35,Low
18,30,15,6,0.3,22,42,Low
22,40,18,7,0.4,25,48,Low
25,45,20,8,0.4,28,55,Low
30,50,22,9,0.5,30,62,Medium
35,55,25,9,0.5,32,68,Medium
40,60,28,10,0.6,35,75,Medium
45,65,30,11,0.6,38,82,Medium
48,72,32,12,0.7,40,90,Medium
55,85,36,14,0.8,45,105,Medium
60,95,40,16,0.9,50,120,High
65,100,42,17,0.9,52,130,High
70,110,45,18,1.0,55,140,High
75,120,48,19,1.1,58,150,High
80,130,50,20,1.1,60,165,High
85,140,55,21,1.2,65,175,High
90,145,58,22,1.2,68,185,High
95,150,60,22,1.3,70,190,High
100,160,65,24,1.4,72,205,High
110,180,70,26,1.5,75,220,High
